id,created_at,username,tweet
1060320971523936256,2018-11-07 16:59:54 MST,lifenewshq,@geri_mattern @badlands_bob Can't defend abortion so you trash pro-life people.
1060320931288154113,2018-11-07 16:59:44 MST,galdi50,Simon Harris deluded about the nature of his own abortion law  https://t.co/GTWGFdMqsw
1060320896479449088,2018-11-07 16:59:36 MST,rbraceysherman,".@HollywdHealth is a resource for television and film writers so they can have more accurate narratives involving healthcare in their scripts. It was founded by @TheNormanLear who has done fabulous work to shift the stories told on screen, including abortion."
1060320892234780672,2018-11-07 16:59:35 MST,ms_queenbitch0,Honestly whoever thinks “adoption over abortion” is more moral.... you literally made a child just to leave them. I’m sorry but ???? How it’s that more moral than not having a child at all?
1060320869791293440,2018-11-07 16:59:29 MST,erinwhiteside16,Northern Ireland: Abortion is not a crime  https://t.co/howNh0E4oh
1060320860974825472,2018-11-07 16:59:27 MST,likeitornotmama,@PercivalPenman @iDrewItUp Isn’t this a lot abortion? Meaning they want grand daughters that’s why they vote against abortion.
1060320847792025601,2018-11-07 16:59:24 MST,dianasc99717236,Two States Voted to Outlaw Abortion if Roe v. Wade Is Nixed  https://t.co/AyhmvzXnEU via @thedailybeast
1060320797519155201,2018-11-07 16:59:12 MST,srhuk,@avatarswift I wonder if his own existence plays a part in his position on abortion in cases of incest
1060320758646239232,2018-11-07 16:59:03 MST,azlatina74,"@peter_agambar @Alyssa_Milano The government not funding abortion is going “backwards”?  Good grief.   And no one is denying these services, only shifting the financial accountability."
1060320755987050496,2018-11-07 16:59:02 MST,11gjm11,"@stock73 I also want to point out that you liked that voters guide re:abortion and who to vote for on federal level based on abortion views. So not only are you not a nice guy, you're a hypocrite."
1060320703663222785,2018-11-07 16:58:50 MST,itzallthezame,"@Alyssa_Milano If they chose to not take birth control, got pregnant, and all of the sudden don’t want the baby, why in the fuck should Medicare have to cover it when they should be held responsible for their own actions/not being responsible🤔In Texas abortion has never been covered by Medicar"
1060320689352142848,2018-11-07 16:58:46 MST,fairyouis,"@ItsLittleEgg its not drama, this political party affects people of color, women, immigrants, etc in america. the republican party is 90% white who believe in white supremacy, anti-abortion laws, deportation of immigrants, etc this is not something bts would want to be a part with lmfao"
1060320665461538816,2018-11-07 16:58:41 MST,karenph72800285,@gorettifitzger1 @SimonHarrisTD None   a failed/student dropout  who lied about being prolife and  never supporting  legislation  for abortion to get him self elected as a TD . So a  deluded schoolboy   surrounded by  pro choicers  who tell him he's gr8  is our minister!
1060320628744568832,2018-11-07 16:58:32 MST,joegooding,"MORAL DECAY: How does abortion rank dead last in importance to voters in this poll? When only 2% of respondents consider the lives of unborn babies a vital issue, we have lost our moral compass. #FoxNews @realDonaldTrump @POTUS  https://t.co/4l6qocsNjf"
1060320601418752002,2018-11-07 16:58:25 MST,abigail17441122,When we are not longer the highest maternal mortality rate in the industrialized world then these states can claim to be pro-life...#DeathAmendments.—-Two states passed abortion amendments to their constitutions in the midterm. What does that mean? - CNN  https://t.co/nZyzaz2VsT
1060320588139380736,2018-11-07 16:58:22 MST,tirishninjas,@dbrasco3180 @LifeNewsHQ Possibly because the law won’t protect against abortions due to race either. Or disability. Its literally eugenics.
1060320547601551360,2018-11-07 16:58:13 MST,arnesonmelissa,@KwikWarren It’s all about their (repubs) stand on abortion.
1060320522305789952,2018-11-07 16:58:06 MST,whatismattdoin,‘pro-life’ doesn’t just mean anti-abortion.   ‘Pro-life’ means: -Ending abortion -Opposing war -Supporting immigrant lives -Supporting black lives  My belief that life matters does not begin with birth but it doesn’t end there.  Life matters outside the womb just as much as in
1060320387077156864,2018-11-07 16:57:34 MST,ksntnews,Woman who shot Kansas abortion doctor in 1993 freed from prison   https://t.co/x1tsjT36Ub  https://t.co/ljaSnfmPI8
1060320361651171328,2018-11-07 16:57:28 MST,rbraceysherman,"This morning, I had the honor of attending this @HollywdHealth &amp; @TelevisionAcad panel on abortion stories in television. How our abortion experiences are represented on screen is one of my favorite topics to discuss.  https://t.co/qcEf0nVjdA"
1060320359424000003,2018-11-07 16:57:28 MST,ryannn_natee,@maarinadel @nicolemkathleen Marina yes all those things can happen and have happened but what does that have to do with a healthy woman going into a clinic and saying I want an abortion? Those scenarios have nothing to do with a natural abortion!! The death of fetus at 2 weeks okay but it wasn’t clinical!!!
1060320337529880576,2018-11-07 16:57:22 MST,thugpatriot,"@missmayn It's been thewir agenda day one. Criminalize abortion, and then let's move on to making abortifacients and just overall reproductive care illegal. These people are the American Taliban, nothing more, and they're certainly not even in the orbit of Christianity."
1060320334665011200,2018-11-07 16:57:22 MST,assmunching,anybody wanna impregnate me so i can have an abortion before it’s illegal
1060320330873520128,2018-11-07 16:57:21 MST,rackethuman,"@aigkenham But yeah, the Bible is against abortion.  https://t.co/4DCC59mGgO"
1060320322925211648,2018-11-07 16:57:19 MST,g_kraig,Ireland Committee Votes to Allow Sex-Selection Abortions  https://t.co/IAIppvEbyR
1060320293766479872,2018-11-07 16:57:12 MST,cryptozen_,"@prolifecampaign @RENUAIreland @SimonHarrisTD will NEVER engage due to his conflict of interest in this abortion biz w/ @campaignforleo w/ Tony O'Brien Im not saying women shouldn't have healthcare what I am saying is that abortions on demand should not happen, will not happen women need care, not abortions #wakeupIreland"
